tray,specimen_id,country,stateProvince,county,municipality,verbatimLocality,locality,waterBody,islandGroup,island,verbatimElevation,habitat,samplingProtocol,collector,verbatimEventDate,identifiedBy,verbatimCoordinates
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_001,Ecuador,Pastaza,,,Rio Morona betw. Rio Cusuimi & Rio Macuma,Río Morona between Río Cusuimi and Río Macuma,,,,300m,,at light,B. Malkin,VII:3-4:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_002,Ecuador,Pastaza,,,Rio Morona betw. Rio Cusuimi & Rio Macuma,Río Morona between Río Cusuimi and Río Macuma,,,,300m,,at light,B. Malkin,VII:3-4:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_003,Ecuador,Pastaza,,,Rio Morona betw. Rio Cusuimi & Rio Macuma,Río Morona between Río Cusuimi and Río Macuma,,,,300m,,at light,B. Malkin,VII:3-4:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_004,Ecuador,Pastaza,,,Rio Morona betw. Rio Cusuimi & Rio Macuma,Río Morona between Río Cusuimi and Río Macuma,,,,300m,,at light,B. Malkin,VII:3-4:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_005,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_006,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_007,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_008,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_009,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_010,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_011,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_012,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_013,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_014,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_015,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_016,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_017,Ecuador,Pastaza,,,confluence R. Macuma & R. Morona,Confluence of Río Macuma and Río Morona,,,,300m,on sand river bank,at light,B. Malkin,VII:17:1971,,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_018,Peru,Loreto,,,"20km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 20 km from Río Ucayali",,,,,,,B. Malkin,"X-1 to X-5, 1961",,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_019,Peru,Loreto,,,"20km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 20 km from Río Ucayali",,,,,,,B. Malkin,"X-1 to X-5, 1961",,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_020,Peru,Loreto,,,"20km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 20 km from Río Ucayali",,,,,,,B. Malkin,"X-1 to X-5, 1961",,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_021,Peru,Loreto,,,"20km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 20 km from Río Ucayali",,,,,,,B. Malkin,"X-1 to X-5, 1961",,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_022,Peru,Loreto,,,"20km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 20 km from Río Ucayali",,,,,,,B. Malkin,"X-1 to X-5, 1961",,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_023,Peru,Loreto,,,"20km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 20 km from Río Ucayali",,,,,,,B. Malkin,"X-1 to X-5, 1961",,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_024,Peru,Loreto,,,"20km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 20 km from Río Ucayali",,,,,,,B. Malkin,"X-1 to X-5, 1961",,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_025,Peru,Loreto,,,"20km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 20 km from Río Ucayali",,,,,,,B. Malkin,"X-1 to X-5, 1961",,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_026,Peru,Loreto,,,"20km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 20 km from Río Ucayali",,,,,,,B. Malkin,"X-1 to X-5, 1961",,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_027,Peru,Loreto,,,"20km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 20 km from Río Ucayali",,,,,,,B. Malkin,"X-1 to X-5, 1961",,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_028,Peru,Loreto,,,"20km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 20 km from Río Ucayali",,,,,,,B. Malkin,"X-1 to X-5, 1961",,
cicindelidae_34_7_5_tray_04,cicindelidae_34_7_5_tray_04_spec_029,Peru,Loreto,,,"15km. from Ucayali on R. Calleria, Colonia Calleria","Colonia Callería, Río Callería, 15 km from Río Ucayali",,,,,,,B. Malkin,"IX-10 to X-15, 1961",,
