tray_id,specimen_id,label_group,match_type,verbatim_text,country,stateProvince,county,municipality,verbatimLocality,locality,waterBody,islandGroup,island,verbatimElevation,habitat,samplingProtocol,collector,verbatimEventDate,identifiedBy,verbatimCoordinates,possibleName,flags,source,human_corrections
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_001,1,unique,POLAND: P[...] | [kam?] | voi[...] | [illeg.] ond | [illeg.],Poland,,,,POLAND: P[...] kam[...] voi[...] ond,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_002,21,unique,POLAND: Kam[?] woj. | [illeg.] del. [illeg.] rond[?],Poland,,,,Kam woj.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_003,2,unique,PO[LAND] | Ka[m...] | wo[j...] | [illeg.],Poland,,,,POLAND: Ka[m...] woj[...],,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_004,3,unique,POLAND | Kam[...] | (woj[...] | [illeg.] ron[d?],Poland,,,,POLAND: Kam[...] (woj[...]) rond,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_005,4,unique,POLAND: P[...] | Ka[...] | Woi[...] | N.e.,Poland,,,,POLAND: Ka[...] Woi[...] N.e.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_006,5,unique,POLAND: P[...] | Kam[...] | voi[...] | [illeg.] uze.,Poland,,,,POLAND: Kam[...] voi[...] uze.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_007,6,unique,OLA[ND] | am[...] | woj. vars[zo...] | [illeg.] ond,Poland,,,,POLAND: woj. Warsz[awa?] ond,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_008,22,unique,C. hybrida | SZ[?] N[?] 2[?] 3[?] VI[?] [illeg.] | [illeg.] w. kieln[?] 1957,Poland,,,,SZ N w. kieln,,,,,,,,,1957,,,,,claude-sonnet-4-6,TRUE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_009,7,unique,POLAND[...] | [illeg.] iez ki.,Poland,,,,POLAND:  iez ki.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_010,8,unique,POLAND[...] | Pu[...] | [illeg.] ki.,Poland,,,,POLAND: Pu[...] ki.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
