full_id,tray_id,country_transc,country_est,country_all,continent,latitude,longitude,country_source,transcription_from,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_001,34_4_10_tray_01,Poland,transcribed,Poland,Europe,52.3340766,20.583397,transcribed,manual,,,,,,,,,,,,,,,,,Poland
34_4_10_tray_01_spec_002,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_003,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_004,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_005,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,NONE
34_4_10_tray_01_spec_006,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_007,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_008,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_009,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_010,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_011,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_012,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_013,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_014,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_015,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_016,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_017,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_018,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_019,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_020,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_021,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_022,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_023,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_024,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_025,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_026,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
