drawer_id,unit_barcode,spec_position,manual_length_mm,manual_width_mm,time,NOTES,utensil
34_4_3,56477,001,33.0,10.0,1:00,,ruler
34_4_3,56477,002,32.0,11.0,,,ruler
34_4_3,56477,003,35.0,10.5,,,ruler
34_4_3,56477,004,34.0,11.0,,,ruler
34_4_3,56477,005,32.5,10.5,,,ruler
34_4_3,56477,006,34.0,11.0,,,ruler
34_4_3,56477,007,33.5,10.5,,,ruler
34_4_3,56477,008,31.0,10.0,,,ruler
34_4_3,56477,009,34.0,10.0,,,ruler
34_4_3,56477,010,32.5,10.0,,,ruler
34_4_7,56576,001,13.0,4.5,,,ruler
34_4_7,56576,002,12.5,4.5,,,ruler
34_4_7,56576,003,12.0,5.0,,,ruler
34_4_7,56576,004,13.0,5.5,,,ruler
34_4_7,56576,005,14.5,5.5,,,ruler
34_4_11,56631,001,10.0,4.5,,,ruler
34_4_11,56631,002,11.0,4.0,,,ruler
34_4_11,56631,003,10.0,4.0,,,ruler
34_4_11,56631,004,10.0,4.0,,,ruler
34_4_11,56631,005,11.0,5.0,,,ruler
34_4_11,56631,006,10.0,4.0,,,ruler
34_4_11,56631,007,10.0,4.0,,,ruler
34_4_11,56631,008,10.0,4.0,,,ruler
34_4_11,56631,009,9.5,4.0,,,ruler
34_4_11,56631,010,10.0,4.0,,,ruler
34_4_14,56693,001,11.5,5.0,,,ruler
34_4_14,56693,002,11.5,4.5,,,ruler
34_4_14,56693,003,11.5,5.0,,,ruler
34_4_14,56693,004,11.5,4.5,,,ruler
34_4_14,56693,005,12.0,5.5,,,ruler
34_4_14,56693,006,12.0,5.0,,,ruler
34_4_14,56693,007,11.0,4.5,,,ruler
34_4_14,56693,008,11.0,4.5,,,ruler
34_4_14,56693,009,12.5,5.0,,,ruler
34_4_14,56693,010,11.5,5.0,,,ruler
34_4_14,56693,011,11.0,4.0,,,ruler
34_4_14,56693,012,11.5,5.0,,,ruler
34_4_14,56693,013,12.0,5.0,,,ruler
34_4_14,56693,014,12.0,5.0,,,ruler
34_4_14,56693,015,11.5,5.0,,,ruler
34_4_14,56693,016,12.0,5.0,,,ruler
34_4_14,56693,017,12.5,5.5,,,ruler
34_4_14,56693,018,11.0,4.5,,,ruler
34_4_14,56693,019,11.0,5.0,,,ruler
34_4_14,56693,020,11.0,4.5,,,ruler
34_4_14,56693,021,10.0,4.5,,,ruler
34_4_14,56693,022,10.0,4.0,,,ruler
34_4_14,56693,023,10.5,4.5,,,ruler
34_4_14,56693,024,12.0,5.0,,,ruler
34_4_14,56693,025,12.0,5.0,,,ruler
34_4_14,56693,026,12.0,5.0,,,ruler
34_4_14,56693,027,12.0,5.0,,,ruler
34_4_14,56693,028,12.0,5.0,,,ruler
34_4_14,56693,029,10.0,4.0,,,ruler
34_4_14,56693,030,12.0,4.5,,,ruler
34_4_14,56693,031,12.0,4.5,,,ruler
34_5_5,56766,001,11.0,4.5,,,ruler
34_5_5,56766,002,10.5,4.0,,,ruler
34_5_5,56766,003,11.0,4.5,,,ruler
34_5_5,56766,004,11.0,4.5,,,ruler
34_5_5,56766,005,11.0,4.5,,,ruler
34_5_5,56766,006,11.0,4.5,,,ruler
34_5_5,56766,007,11.5,4.5,,,ruler
34_5_5,56766,008,11.5,5.0,,,ruler
34_5_5,56766,009,11.5,4.5,,,ruler
34_5_5,56766,010,11.0,4.5,,,ruler
34_5_5,56766,011,11.0,4.0,,,ruler
34_5_5,56766,012,11.5,4.5,,,ruler
34_5_5,56766,013,11.0,4.5,,,ruler
34_5_5,56766,014,11.0,5.0,2:21,,ruler
34_5_8,56825,001,11.0,4.5,,,ruler
34_5_8,56825,002,12.0,5.0,,,ruler
34_5_8,56825,003,13.5,5.5,,,ruler
34_5_8,56825,004,13.0,4.0,,WINGS SPLAYED,ruler
34_5_8,56825,005,13.5,5.5,,,ruler
34_5_8,56825,006,15.0,6.0,,,ruler
34_5_13,56901,001,7.0,2.0,,,ruler
34_5_13,56901,002,7.0,2.0,,,ruler
34_5_13,56901,003,8.5,2.5,,,ruler
34_5_13,56901,004,9.0,3.0,,,ruler
34_5_13,56901,005,8.0,2.5,,,ruler
34_5_13,56901,006,8.5,3.0,,,ruler
34_5_13,56901,007,8.0,3.0,,,ruler
34_5_13,56901,008,9.3,3.2,,,calipers
34_5_13,56901,009,8.7,2.9,,,calipers
34_5_13,56901,010,8.7,2.7,,,calipers
34_5_13,56901,011,7.6,2.7,,,calipers
34_5_13,56901,012,8.1,2.7,,,calipers
34_5_13,56901,013,7.3,3.1,,,calipers
34_5_13,56901,014,6.9,2.4,,,calipers
34_5_13,56901,015,7.3,3.1,,,calipers
34_5_13,56901,016,8.0,2.8,,,calipers
34_5_13,56901,017,6.7,2.7,,,calipers
34_5_13,56901,018,6.7,2.7,,,calipers
34_5_13,56901,019,9.3,3.2,,,calipers
34_5_13,56901,020,8.7,2.9,,,calipers
34_5_13,56901,021,7.4,2.8,,,calipers
34_5_13,56901,022,8.0,2.7,,,calipers
34_5_13,56901,023,8.4,2.9,,,calipers
34_7_3,57225,001,15.1,5.9,,,
34_7_3,57225,002,14.2,5.0,,,
34_7_3,57225,003,13.2,5.1,,,
34_7_3,57225,004,13.1,5.3,,,
34_7_3,57225,005,13.4,4.7,,,
34_7_3,57225,006,13.6,4.8,,,
