full_id,FMNH-INS#,drawer_id,tray_id,unit_barcode,full_taxonomy,genus,len1_mm,len2_mm,spec_area_mm2,geocode,loc_transcription,country,province_state,county,city,prec_location,elevation_fr,elevation_to,elevation_fr_ft,elevation_to_ft,site_num,habitat,microhabitat,collect_method,date_from,date_to,collectors,other_collect_nums,sex,latitude,longitude,specimen,specimen_condition,mask_condition,notes
34_4_10_tray_01_spec_001,4725488,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,12.67647181,6.477580069,48.73221438,PAL,manual,Poland,,,,Puszcza Kampinoska [Kampinos Forest] Bialy Grond,,,,,,Swamp,,,,29-Jul-72,"B. Malkin, P. Bielawski",,,52.3340766,20.583397,Y,intact specimen,mask found,
34_4_10_tray_01_spec_002,4800230,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,12.87827773,6.160908637,52.54859474,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_003,4800231,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.85878112,5.863730126,59.98867511,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_004,4800232,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,12.06265967,4.886407542,43.58825598,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_005,4800233,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.24352212,5.635257545,47.62645605,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_006,4800234,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,12.71076721,5.558781682,45.64062678,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_007,4800235,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,12.37019304,5.069219028,43.59018981,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_008,4800236,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,14.3555775,5.74220773,58.73924159,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_009,4800237,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,15.02203244,5.83288803,61.45430264,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_010,4800238,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,12.74024847,5.099396639,48.17069888,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_011,4800239,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.02492969,5.180730279,48.81901723,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_012,4800240,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.46052392,5.578599711,53.92153002,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_013,4800241,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,12.89839745,6.034535298,46.1110762,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_014,4800242,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.6744424,5.047070471,46.94557016,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_015,4800243,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,10.69103376,5.897243578,47.27717899,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_016,4800244,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.65788628,5.100611749,48.87896613,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_017,4800245,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.59327408,5.35420663,51.87469703,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
