specimen_id,country,unique_countries,specimen_count
cicindelidae_34_6_14_tray_21_spec_001,Algeria,United States,3264
cicindelidae_34_6_14_tray_22_spec_001,Algeria,Brazil,422
cicindelidae_34_5_14_tray_07_spec_001,Antigua and Barbuda,Chile,265
cicindelidae_34_5_9_tray_08_spec_001,Antigua and Barbuda,Colombia,236
cicindelidae_34_5_11_tray_07_spec_001,Argentina,India,181
cicindelidae_34_5_11_tray_09_spec_004,Argentina,Philippines,174
cicindelidae_34_5_11_tray_09_spec_010,Argentina,Mexico,174
cicindelidae_34_5_11_tray_09_spec_011,Argentina,Peru,157
cicindelidae_34_5_11_tray_14_spec_001,Argentina,Ecuador,144
cicindelidae_34_5_11_tray_14_spec_002,Argentina,Costa Rica,126
cicindelidae_34_5_11_tray_14_spec_003,Argentina,Argentina,81
cicindelidae_34_5_11_tray_14_spec_004,Argentina,Vietnam,72
cicindelidae_34_5_11_tray_14_spec_005,Argentina,Canada,68
cicindelidae_34_5_11_tray_14_spec_006,Argentina,Guatemala,60
cicindelidae_34_5_11_tray_14_spec_007,Argentina,Spain,57
cicindelidae_34_5_11_tray_14_spec_008,Argentina,Greece,57
cicindelidae_34_5_11_tray_14_spec_009,Argentina,Poland,55
cicindelidae_34_5_11_tray_14_spec_010,Argentina,Indonesia,51
cicindelidae_34_5_11_tray_14_spec_011,Argentina,Taiwan,48
cicindelidae_34_5_11_tray_14_spec_012,Argentina,Japan,45
cicindelidae_34_5_11_tray_14_spec_013,Argentina,Venezuela,37
cicindelidae_34_5_11_tray_14_spec_014,Argentina,CuraÃ§ao,29
cicindelidae_34_5_11_tray_14_spec_015,Argentina,Jamaica,23
cicindelidae_34_5_11_tray_14_spec_016,Argentina,Australia,19
cicindelidae_34_5_11_tray_14_spec_017,Argentina,Hungary,18
cicindelidae_34_5_11_tray_14_spec_018,Argentina,Panama,17
cicindelidae_34_5_11_tray_14_spec_019,Argentina,Madagascar,16
cicindelidae_34_5_11_tray_14_spec_020,Argentina,Democratic Republic of the Congo,16
