tray_id,specimen_id,label_group,match_type,verbatim_text,country,stateProvince,county,municipality,locality,verbatimLocality,islandGroup,island,verbatimElevation,habitat,samplingProtocol,recordedBy,identifiedBy,verbatimEventDate,verbatimCoordinates,possibleName,source,otherCatalogNumbers,flags
34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_001,,,,Poland,,,,Kampinos Forest,Puszcza Kampinoska [Kampinos Forest] Bialy Grond,,,,"Swamp, white ground",,B. Malkin | P. Bielawski,,29 Jul 1972,,,manual,,
34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_001,,,,United States of America,Michigan,,Pentwater,,,,,,,,E. Liljeblad,,11 Jul 1939,,,manual,,
34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_001,,,,United States of America,California,,Lake Elsinore,,,,,,,,,,04 Jul 1950,,,manual,,
34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_002,,,,Poland,,,Warsaw,Wawer,Wawer,,,,,,,,17 May 1938,,,manual,,
34_4_10_tray_05,cicindelidae_34_4_10_tray_05_spec_001,,,,United States of America,Indiana,,Ogden Dunes,,,,,,Beach,,,,18 May 1935,,,manual,,
34_4_10_tray_06,cicindelidae_34_4_10_tray_06_spec_001,,,,United States of America,California,,,,,,,,,,,,07 Jul 2009,,,manual,,
34_4_10_tray_07,cicindelidae_34_4_10_tray_07_spec_001,,,,United States of America,Wisconsin,Door,,Europe Bay,Europe Bay,,,,,,J.K. Lawton,,16 Aug 1968,,,manual,,
34_4_10_tray_08,cicindelidae_34_4_10_tray_08_spec_001,,,,United States of America,Indiana,,Gary,,Miller,,,,,,C.M. Child S.,,07 Aug 2005,,,manual,,
34_4_10_tray_09,cicindelidae_34_4_10_tray_09_spec_002,,,,United States of America,New York,,,Jones Beach,Jones Beach,,,,,,,,15 May 2025,,,manual,,
34_4_10_tray_10,cicindelidae_34_4_10_tray_10_spec_001,,,,United States of America,Oklahoma,,Woodward,,,,,,,,R.E. Shaul,,28 Jun 1987,,,manual,,
34_4_10_tray_11,cicindelidae_34_4_10_tray_11_spec_001,,,,Poland,,,Truskaw,Kampinos Forest,Puszcza Kampinoska [Kampinos Forest],,,,,,B. and H. Malkin,,01 May 1983,,,manual,,
34_4_10_tray_12,cicindelidae_34_4_10_tray_12_spec_001,,,,United States of America,Wisconsin,Door,Sturgeon Bay,,,,,,,,,,01 Sep 1935,,,manual,,
34_4_10_tray_13,cicindelidae_34_4_10_tray_13_spec_001,,,,United States of America,Indiana,Porter,Tremont,,,,,,,,D. Kistner,,12 Jul 1952,,,manual,,
34_4_10_tray_14,cicindelidae_34_4_10_tray_14_spec_001,,,,United States of America,Oregon,,Waldport,,,,,,,,,,23 Jul 1934,,,manual,,
34_4_10_tray_15,cicindelidae_34_4_10_tray_15_spec_001,,,,United States of America,California,,Santa Barbara,,,,,,,,,,15 May 2013,,,manual,,
34_4_10_tray_16,cicindelidae_34_4_10_tray_16_spec_001,,,,United States of America,New Mexico,,,"Largo Canyon, near Blanco",Largo Canyon [Canon Largo] near Blanco,,,,,,C.R. Rotger,,06 Jun 1963,,,manual,,
34_4_10_tray_17,cicindelidae_34_4_10_tray_17_spec_001,,,,United States of America,Texas,Jeff Davis,Fort Davis,Davis Mountains,Davis Mountains,,,,Pasture,Sweepnet,W. Suter,,08 Aug 1984,,,manual,,
34_4_10_tray_18,cicindelidae_34_4_10_tray_18_spec_001,,,,France,,,Le Porge,,,,,,,,C. van Nidek,,22 Aug 1969 – 31 Aug 1969,,,manual,,
34_4_10_tray_19,cicindelidae_34_4_10_tray_19_spec_001,,,,United States of America,Washington,,Vantage,,,,,,,,D.V. McCorkle,,22 May 1958,,,manual,,
34_4_10_tray_20,cicindelidae_34_4_10_tray_20_spec_003,,,,Indonesia,,,,Onin Peninsula,"New Guinea, Onin",,,,,,,,,,,manual,,
34_4_10_tray_21,cicindelidae_34_4_10_tray_21_spec_001,,,,United States of America,Oklahoma,,Woodward,,,,,,,,R.E. Shaul,,01 Jul 1987,,,manual,,
34_4_10_tray_22,cicindelidae_34_4_10_tray_22_spec_002,,,,Hungary,,,,,,,,,,,,,1926,,,manual,ez-VAR.8T,
34_4_11_tray_01,cicindelidae_34_4_11_tray_01_spec_001,,,,Philippines,South Cotabato,,General Santos,Conel,"Cotabo, Conel, Mindanao",,Mindanao,,Open forest,,H. Hoogstraal,,10 Dec 1946,,,manual,,
34_4_11_tray_02,cicindelidae_34_4_11_tray_02_spec_004,,,,United States of America,Colorado,,Colorado Springs,,,,,,,,C.H. Seevers,,05 Jul 1934,,,manual,,
34_4_11_tray_03,cicindelidae_34_4_11_tray_03_spec_001,,,,United States of America,Illinois,,Rockford,,,,,,,,M.L. Bristol,,21 May 1934,,,manual,,
34_4_11_tray_04,cicindelidae_34_4_11_tray_04_spec_001,,,,Philippines,Davao,,Tagum,Maco,"Maco, Sea level",,,,,,H. Hoogstraal,,Oct-46,,,manual,,
34_4_11_tray_05,cicindelidae_34_4_11_tray_05_spec_002,,,,Canada,Manitoba,,,Aweme,Aweme,,,,,,N. Criddle,,26 Apr 2020,,,manual,,
34_4_11_tray_06,cicindelidae_34_4_11_tray_06_spec_001,,,,United States of America,California,,San Diego,,,,,,,,,,12 Jul 1934,,,manual,,
34_4_11_tray_07,cicindelidae_34_4_11_tray_07_spec_001,,,,United States of America,Illinois,Winnebago,Rockford,,,,,,,,B. Benesh,,Sep-33,,,manual,,
34_4_11_tray_08,cicindelidae_34_4_11_tray_08_spec_001,,,,United States of America,Wisconsin,,Fern,,,,,,,,,,16 Aug 1940,,,manual,,
34_4_11_tray_09,cicindelidae_34_4_11_tray_09_spec_003,,,,Gabon,,,,,,,,,,,,,,,,manual,,
34_4_11_tray_10,cicindelidae_34_4_11_tray_10_spec_003,,,,Japan,,,Nagano,,,,Honshu,,,,S.W.,,20 May 1959,,,manual,,
34_4_11_tray_11,cicindelidae_34_4_11_tray_11_spec_004,,,,Democratic Republic of the Congo,,,,Grauer,Grauer,,,,,,,,,,,manual,,
34_4_11_tray_12,cicindelidae_34_4_11_tray_12_spec_005,,,,United States of America,California,,San Diego,Pacific Beach,Pacific Beach,,,,,,,,24 May 2004,,,manual,,
34_4_11_tray_13,cicindelidae_34_4_11_tray_13_spec_001,,,,Mexico,,,Mexico City,Hoge,Hoge,,,,,,,,,,,manual,,
34_4_11_tray_14,cicindelidae_34_4_11_tray_14_spec_001,,,,Mexico,,,,Tijuana,Tijuana,,,,,,G. Nelson,,10 Oct 1953,,,manual,,
34_4_11_tray_15,cicindelidae_34_4_11_tray_15_spec_001,,,,United States of America,Colorado,Yuma,Wray,Behind Sandhiller Motel,Behind Sandhiller Motel,,,,Sand Dunes,,M. Kippenhan | B. Kondratieff,,14 Sep 1991,,,manual,,
34_4_11_tray_16,cicindelidae_34_4_11_tray_16_spec_001,,,,United States of America,Colorado,,Colorado Springs,,,,,,,,,,22 May 1947,,,manual,,
34_4_11_tray_17,cicindelidae_34_4_11_tray_17_spec_001,,,,Mexico,Sonora,,,1mi NW Navojoa,1mi NW Navojoa,,,,,,E. Sleeper | W. Agnew | G. Noonan | P. Sullivan,,07 Aug 1963,,,manual,,
34_4_11_tray_18,cicindelidae_34_4_11_tray_18_spec_001,,,,United States of America,North Dakota,Richland,Richland,10mi W of Walcott,10mi W of Walcott,,,,,,R.L. Huber,,01 Sep 1969,,,manual,,
34_4_11_tray_19,cicindelidae_34_4_11_tray_19_spec_001,,,,Canada,Northwest Territories,,,,,,,,,,,,,,,manual,,
34_4_11_tray_20,cicindelidae_34_4_11_tray_20_spec_005,,,,Mexico,Yucatan,,,Chichen Itza,Chichen Itza,,,,,,E. Thompson,,,,,manual,,
34_4_11_tray_21,cicindelidae_34_4_11_tray_21_spec_001,,,,Mexico,,,Acapulco,,,,,,,,C.H. Seevers,,10 Aug 1936,,,manual,,
34_4_11_tray_22,cicindelidae_34_4_11_tray_22_spec_003,,,,Kazakhstan,,,Taraz,Aulie Ata,Aulie Ata,,,,,,,,,,,manual,,
34_4_11_tray_23,cicindelidae_34_4_11_tray_23_spec_001,,,,Mexico,Sinaloa,,Malpica,,,,,,,,R.A. Scheibner,,29 Jun 1961,,,manual,,
34_4_11_tray_24,cicindelidae_34_4_11_tray_24_spec_001,,,,,,,,Taurus Mountains,Taurus Mountains,,,,,,,,,,,manual,,
34_4_11_tray_25,cicindelidae_34_4_11_tray_25_spec_002,,,,Germany,,,,"Spielmannsau, Allgau","Spielmannsau, Allgau",,,,,,Dr. Noesako,,24 Jul 2026,,,manual,,
34_4_12_tray_01,cicindelidae_34_4_12_tray_01_spec_001,,,,United States of America,Texas,Jeff Davis,Fort Davis,"Davis Mountains, 4mi W","Davis Mountains, 4mi W",,,,,Sweep,W. Suter,,04 Aug 1968,,,manual,,
34_4_12_tray_02,cicindelidae_34_4_12_tray_02_spec_001,,,,United States of America,Washington,,,Disautel,Disautel,,,,,,N. M. Downie,,14 Apr 1949,,,manual,,
34_4_12_tray_03,cicindelidae_34_4_12_tray_03_spec_001,,,,United States of America,Texas,Jeff Davis,Fort Davis,"Davis Mountains, 6mi W","Davis Mountains, 6mi W",,,,,Sweep,W. Suter,,29 Jul 1969,,,manual,,
34_4_12_tray_04,cicindelidae_34_4_12_tray_04_spec_001,,,,Greece,,,,Rhodes (Rhodus),Rhodes (Rhodus),,,,,,,,,,,manual,,
34_4_12_tray_05,cicindelidae_34_4_12_tray_05_spec_001,,,,United States of America,Texas,Jeff Davis,Fort Davis,"Davis Mountains, 6mi W","Davis Mountains, 6mi W",,,,,Sweep,W. Suter,,30 Jul 1969,,,manual,,
34_4_12_tray_06,cicindelidae_34_4_12_tray_06_spec_001,,,,United States of America,Wisconsin,,Fern,,,,,,,,,,16 Aug 1940,,,manual,,
34_4_12_tray_07,cicindelidae_34_4_12_tray_07_spec_001,,,,United States of America,Idaho,,,Moscow Mountain,Moscow Mountain,,,,,,N. M. Downie,,23 Jun 1954,,,manual,,
34_4_12_tray_08,cicindelidae_34_4_12_tray_08_spec_005,,,,United States of America,Montana,,,"Cabinet National Forest, Clarks Peak","Cabinet National Forest, Clarks Peak",,,4000–5000 ft,,,B. Malkin,,04 Jul 1950,,,manual,,
34_4_12_tray_09,cicindelidae_34_4_12_tray_09_spec_001,,,,United States of America,Oregon,Harney,Harney,"Steens Mountains, above Fish Lake","Steens Mountains, above Fish Lake",,,8000–9000 ft,,,Borys Malkin,,22 Jun 1951 – 26 Jun 1951,,,manual,,
34_4_12_tray_10,cicindelidae_34_4_12_tray_10_spec_001,,,,Mexico,Zacatecas,,,4mi W Monte Escobedo,4mi W Monte Escobedo,,,,,,,,19 Jul 1954 – 20 Jul 1954,,,manual,,
34_4_12_tray_11,cicindelidae_34_4_12_tray_11_spec_001,,,,United States of America,Idaho,,,Moscow Mountain,Moscow Mountain,,,,,,B. Malkin | W. F. Barr,,02 May 1953,,,manual,,
34_4_12_tray_12,cicindelidae_34_4_12_tray_12_spec_001,,,,Spain,Cadiz,,,2km S of El Puerto de Santa Marâˆšâ‰ a (Pte de Sta. Maria),2km S of El Puerto de Santa Marâˆšâ‰ a (Pte de Sta. Maria),,,,,,,,30 Aug 1970,,,manual,B-0177,
34_4_12_tray_13,cicindelidae_34_4_12_tray_13_spec_002,,,,Sweden,Halland,,Falkenberg,,"Falkenberg, Irabten",,,,,,I.B. Ericson,,,,,manual,,
34_4_12_tray_14,cicindelidae_34_4_12_tray_14_spec_003,,,,,,,,,Ndandu do,,,,,,,,,,,manual,,
34_4_12_tray_15,cicindelidae_34_4_12_tray_15_spec_001,,,,United States of America,Colorado,,Arboles,,,,,,,,Rev. B. Rotger,,Jul-63,,,manual,,
34_4_12_tray_16,cicindelidae_34_4_12_tray_16_spec_001,,,,United States of America,New York,,,,,,,,,,,,,,,manual,,
34_4_12_tray_17,cicindelidae_34_4_12_tray_17_spec_001,,,,France,,,Salin-de-Giraud,"Camargue, Bouches-du-RhâˆšÂ¥ne","Camargue, Bouches-du-RhâˆšÂ¥ne",,,,,,C. van Nidek,,12 Sep 1970,,,manual,,
34_4_12_tray_18,cicindelidae_34_4_12_tray_18_spec_004,,,,South Africa,,,Gqeberha,formerly Port Elizabeth,formerly Port Elizabeth,,,,,,,,,,,manual,,
34_4_12_tray_19,cicindelidae_34_4_12_tray_19_spec_001,,,,Spain,,,,Castilians,Castilians,,,,,,,,,,,manual,46,
34_4_12_tray_21,cicindelidae_34_4_12_tray_21_spec_002,,,,Syria,,,,,,,,,,,,,,,,manual,,
34_4_12_tray_22,cicindelidae_34_4_12_tray_22_spec_001,,,,Mexico,Zacatecas,,Chalchihuites,8 mi S,8 mi S,,,,,,R.H. Brewer,,02 Jul 1954 – 03 Jul 1954,,,manual,,
34_4_12_tray_23,cicindelidae_34_4_12_tray_23_spec_001,,,,Hungary,,Pest,Apaj,Apajpuszta,Apajpuszta,,,,,,gaskd k.,,12 May 1967,,,manual,,
34_4_12_tray_24,cicindelidae_34_4_12_tray_24_spec_001,,,,Democratic Republic of the Congo,Bas-Uele,,Bambesa,,"Oriente, Bambesa",,,,,,,,21 Mar 1957,,,manual,,
34_4_12_tray_25,cicindelidae_34_4_12_tray_25_spec_001,,,,Indonesia,,,,Sumatra,Sumatra,,,,,,,,,,,manual,,
34_4_13_tray_01,cicindelidae_34_4_13_tray_01_spec_002,,,,United States of America,Colorado,,Golden,Chimney Gulch Trail,Chimney Gulch Trail,,,,,,E.J. Oslar,,May,,,manual,,
34_4_13_tray_02,cicindelidae_34_4_13_tray_02_spec_002,,,,United States of America,Texas,Victoria,Victoria,"5mi W, Caleto Creek","5mi W, Caleto Creek",,,,,,W. Suter,,23 Jul 1968,,,manual,,
34_4_13_tray_03,cicindelidae_34_4_13_tray_03_spec_001,,,,Guatemala,Chimaltenango,,,Chocoyos,Chocoyos,,,,,,R.D. Mitchell,,20 May 1948,,,manual,,
34_4_13_tray_04,cicindelidae_34_4_13_tray_04_spec_003,,,,United States of America,Washington,Chelan,Wenatchee,,,,,,,,W. Suter,,14 Aug 1961,,,manual,,
34_4_13_tray_05,cicindelidae_34_4_13_tray_05_spec_001,,,,United States of America,New Mexico,,Las Cruces,,,,,,,,,,16 Jul 1931,,,manual,,
