tray,specimen_id,country,stateProvince,county,municipality,verbatimLocality,locality,waterBody,islandGroup,island,verbatimElevation,habitat,samplingProtocol,collector,verbatimEventDate,identifiedBy,verbatimCoordinates
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_001,United States,Illinois,,Lake Forest,,,,,,,,,Jos Hayes,30.May.51,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_002,United States,Illinois,,Lemont,,,,,,,,,RLD,12.May.68,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_003,United States,Wisconsin,,Platteville,,,,,,,,,H. Willis,10-VI-67,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_004,United States,Illinois,,Lake Forest,,,,,,,,,Jos Hayes,30.V.51,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_005,United States,Illinois,,Lemont,,,,,,,,,RLD,12.May.68,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_006,United States,Wisconsin,Oneida,,Pelican Lake,,Pelican Lake,,,,,,Eugene Ray,"July 12, 1937",,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_007,United States,Indiana,Parke,Rockville,"IND. Parke Co.; 4mi W. Rockville (""Hajji Hollow"")",Hajji Hollow Nature Preserve,,,,,,malaise trap,H.S. Dybas,10:VI:75,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_008,United States,Indiana,Parke,Rockville,"IND. Parke Co.; 4mi W. Rockville (""Hajji Hollow"")",Hajji Hollow Nature Preserve,,,,,,malaise trap,H.S. Dybas,9:VI:75,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_009,United States,Illinois,Lake,Fox Lake,"ILL: Lake Co.; 2mi. NW of Fox Lake, rt. 12","2mi. NW of Fox Lake, rt. 12",,,,,under bark of log,,Verne Reaves,V:2:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_010,United States,Illinois,Lake,Fox Lake,"ILL: Lake Co.; 2mi. NW of Fox Lake, rt. 12","2mi. NW of Fox Lake, rt. 12",,,,,under bark of log,,Verne Reaves,V:2:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_011,United States,Illinois,Lake,Fox Lake,"ILL: Lake Co.; 2mi. NW of Fox Lake, rt. 12","2mi. NW of Fox Lake, rt. 12",,,,,under bark of log,,Verne Reaves,V:8:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_012,United States,Illinois,Lake,Fox Lake,"ILL: Lake Co.; 2mi. NW of Fox Lake, rt. 12","2mi. NW of Fox Lake, rt. 12",,,,,under bark of log,,Verne Reaves,V:2:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_013,United States,Illinois,Lake,Fox Lake,"ILL: Lake Co.; 2mi. NW of Fox Lake, rt. 12","2mi. NW of Fox Lake, rt. 12",,,,,under bark of log,,Verne Reaves,V:2:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_014,United States,Illinois,Cook,,ILL. Cook Co.; Palos Hills Forest Preserve Area,Palos Hills Forest Preserve Area,,,,,under bark of log on ground,,Verne Reaves,V:3:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_015,United States,Illinois,Lake,Fox Lake,"ILL: Lake Co.; 2mi. NW of Fox Lake, rt. 12","2mi. NW of Fox Lake, rt. 12",,,,,under bark of log,,Verne Reaves,V:8:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_016,United States,Illinois,Cook,,ILL. Cook Co.; Palos Hills Forest Preserve Area,Palos Hills Forest Preserve Area,,,,,under bark of log on ground,,Verne Reaves,V:3:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_017,United States,Illinois,,Zion,,,,,,,under bark of log,,Verne Reaves,V:2:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_018,United States,Illinois,Lake,Fox Lake,"ILL: Lake Co.; 2mi. NW of Fox Lake, rt. 12","2mi. NW of Fox Lake, rt. 12",,,,,under bark of log,,Verne Reaves,V:8:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_019,United States,Illinois,Cook,,ILL. Cook Co.; Palos Hills Forest Preserve Area,Palos Hills Forest Preserve Area,,,,,under bark of log on ground,,Verne Reaves,VI:27:1971,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_020,United States,Illinois,Lake,Fox Lake,"ILL: Lake Co.; 2mi. NW of Fox Lake, rt. 12","2mi. NW of Fox Lake, rt. 12",,,,,under bark of log,,Verne Reaves,V:8:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_021,United States,Illinois,Cook,,ILL. Cook Co.; Palos Hills Forest Preserve Area,Palos Hills Forest Preserve Area,,,,,under bark of log on ground,,Verne Reaves,V:3:1970,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_022,United States,Kansas,Clay,,,,,,,,,,,VI/17 1924,,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_023,United States,New York,,,Aqueduct Long Is NY,Aquedect,,,Long Island,,,,L.H. Joutel,"Sept. 23, 1904",,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_024,United States,Kansas,,Onaga,,,,,,,,,,"June 25, 1905",,
cicindelidae_34_5_7_tray_01,cicindelidae_34_5_7_tray_01_spec_025,United States,Texas,,Galveston,Vic. Galveston Tex.,,,,,,,,H. Baethge,1880-'85,,
