tray,specimen_id,country,stateProvince,county,municipality,locality,verbatimLocality,waterBody,islandGroup,island,verbatimElevation,habitat,samplingProtocol,collector,verbatimEventDate,identifiedBy,verbatimCoordinates
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_001,India,,,Pachmarhi,Satpura Hills,"Central INDIA, Saptura Hills",,,,3500 ft.,,,T.R. Susai Nathan,X: 1970,R.D. Ward,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_002,Taiwan,,,,Hengchun,"KOHCHUN, Formosa, China",,,,,,,W. Chung,"V, : 1958",,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_003,Taiwan,,,,Hengchun,"KOHCHUN, Formosa, China",,,,,,,W. Chung,"V, : 1958",,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_004,Taiwan,,,,Hengchun,"KOHCHUN, Formosa, China",,,,,,,W. Chung,"V, : 1958",,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_005,Taiwan,,,,Hengchun,"KOHCHUN, Formosa, China",,,,,,,W. Chung,"V, : 1958",,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_006,Taiwan,,,,Hengchun,"KOHCHUN, Formosa, China",,,,,,,W. Chung,"V, : 1958",,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_007,Taiwan,,,,Hengchun,"KOHCHUN, Formosa, China",,,,,,,W. Chung,"V, : 1958",,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_008,Taiwan,,,,Hengchun,"KOHCHUN, Formosa, China",,,,,,,W. Chung,"V, : 1958",,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_009,India,,,Pachmarhi,Satpura Hills,Pachmarhi; Saptura Hills,,,,3500 ft.,,,T.R. Susai Nathan,X: 1970,R.D. Ward,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_010,Taiwan,,,,Hengchun,"KOHCHUN, Formosa, China",,,,,,,W. Chung,"V, : 1958",,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_011,India,,,Pachmarhi,Satpura Hills,Pachmarhi; Saptura Hills,,,,3500 ft.,,,T.R. Susai Nathan,X: 1970,R.D. Ward,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_012,Taiwan,,,,Hengchun,"KOHCHUN, Formosa, China",,,,,,,W. Chung,"V, : 1958",,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_013,India,,,Pachmarhi,Satpura Hills,Pachmarhi; Saptura Hills,,,,3500 ft.,,,T.R. Susai Nathan,X: 1970,R.D. Ward,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_014,India,,,,,Orient.,,,,,,,Eduard Knirsch,,Dr. Ing. K. Mandl,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_015,,,,,,,,,,,,,Eduard Knirsch,,Dr. Ing. K. Mandl,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_016,India,,,,"Palm Hills, Dunlop","Palm Hills, India | India, Dunlop.",,,,,,,F. Psota,,Dr. Ing. K. Mandl,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_017,Vietnam,Dong Nai,,,Cat Tien National Park,"SO. VIETNAM: Dong Nai Pr., Cat Tien N. Pk. 70 mi N Saigon",,,,,,,T.Q. Tam,"IV-VI,1997",,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_018,Vietnam,Dong Nai,,,Cat Tien National Park,"SO. VIETNAM: Dong Nai Pr., Cat Tien N. Pk. 70mi NE Hochiminh City",,,,,,,T.Q. Tam,XII.1996-I.1997,,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_019,Vietnam,Dong Nai,,,Cat Tien National Park,"SO. VIETNAM: Dong Nai Pr., Cat Tiem National Park ",,,,,,,T.Q. Tam,13-16.v.1998,,
cicindelidae_34_5_7_tray_03,cicindelidae_34_5_7_tray_03_spec_020,India,Karnataka,,Shivmogga,River Tunga Bridge,"River Tunga Br., light, Mysoroe St., Shimoga, S. India",,,,,,light,,5-6.VII.37,,
